0:0:0:0:0:0:0:1 - - [13/Aug/2021:00:32:39 +0900] "GET /FITCHA/test/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [13/Aug/2021:00:32:39 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Aug/2021:00:32:45 +0900] "GET /FITCHA/main-movie HTTP/1.1" 200 9355
0:0:0:0:0:0:0:1 - - [13/Aug/2021:00:32:45 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Aug/2021:00:33:32 +0900] "GET /FITCHA/main-movie HTTP/1.1" 200 9371
0:0:0:0:0:0:0:1 - - [13/Aug/2021:00:33:32 +0900] "GET /FITCHA/test/css/bootstrap.min.css HTTP/1.1" 200 121457
0:0:0:0:0:0:0:1 - - [13/Aug/2021:00:33:32 +0900] "GET /FITCHA/test/css/index.css HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [13/Aug/2021:00:33:32 +0900] "GET /FITCHA/test/js/bootstrap.min.js HTTP/1.1" 200 39680
0:0:0:0:0:0:0:1 - - [13/Aug/2021:00:33:32 +0900] "GET /FITCHA/img/fitcha.png HTTP/1.1" 200 5130
0:0:0:0:0:0:0:1 - - [13/Aug/2021:00:33:32 +0900] "GET /FITCHA/test/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [13/Aug/2021:00:33:32 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Aug/2021:00:33:43 +0900] "GET /FITCHA/main-movie HTTP/1.1" 200 9371
0:0:0:0:0:0:0:1 - - [13/Aug/2021:00:33:43 +0900] "GET /FITCHA/test/css/bootstrap.min.css HTTP/1.1" 200 121457
0:0:0:0:0:0:0:1 - - [13/Aug/2021:00:33:43 +0900] "GET /FITCHA/test/css/index.css HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [13/Aug/2021:00:33:43 +0900] "GET /FITCHA/test/js/bootstrap.min.js HTTP/1.1" 200 39680
0:0:0:0:0:0:0:1 - - [13/Aug/2021:00:33:43 +0900] "GET /FITCHA/img/fitcha.png HTTP/1.1" 200 5130
0:0:0:0:0:0:0:1 - - [13/Aug/2021:00:33:44 +0900] "GET /FITCHA/test/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [13/Aug/2021:00:33:44 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Aug/2021:00:33:44 +0900] "GET /FITCHA/main-movie HTTP/1.1" 200 9371
0:0:0:0:0:0:0:1 - - [13/Aug/2021:00:33:44 +0900] "GET /FITCHA/test/css/index.css HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [13/Aug/2021:00:33:44 +0900] "GET /FITCHA/test/css/bootstrap.min.css HTTP/1.1" 200 121457
0:0:0:0:0:0:0:1 - - [13/Aug/2021:00:33:44 +0900] "GET /FITCHA/test/js/bootstrap.min.js HTTP/1.1" 200 39680
0:0:0:0:0:0:0:1 - - [13/Aug/2021:00:33:44 +0900] "GET /FITCHA/img/fitcha.png HTTP/1.1" 200 5130
0:0:0:0:0:0:0:1 - - [13/Aug/2021:00:33:44 +0900] "GET /FITCHA/test/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [13/Aug/2021:00:33:44 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Aug/2021:00:34:11 +0900] "GET /FITCHA/main-movie HTTP/1.1" 200 9370
0:0:0:0:0:0:0:1 - - [13/Aug/2021:00:34:11 +0900] "GET /FITCHA/test/css/bootstrap.min.css HTTP/1.1" 200 121457
0:0:0:0:0:0:0:1 - - [13/Aug/2021:00:34:11 +0900] "GET /FITCHA/test/css/index.css HTTP/1.1" 200 947
